Date,Open,High,Low,Close,Volume,MA_10,MA_50,RSI,BB_Middle,BB_Upper,BB_Lower
2020-03-13,87.75,89.31549835205078,84.03099822998047,89.25,176194000,93.19394989013672,97.46510955810547,37.693547946877636,97.69572486877442,111.28007375100398,84.11137598654486
2020-03-16,82.07550048828125,87.97250366210938,81.30149841308594,84.4574966430664,178346000,91.86994934082031,97.25624954223633,35.39054020231646,96.58142471313477,110.6869980688468,82.47585135742273
2020-03-17,88.77349853515625,92.88899993896484,84.46199798583984,90.39199829101562,218342000,91.36419906616212,97.18911956787109,42.066314494177426,95.71184959411622,109.03214257691887,82.39155661131356
2020-03-18,87.5,92.08300018310547,87.25,91.5,192904000,90.63504943847656,97.11623962402344,47.30996740756329,94.86129951477051,106.84590499953435,82.87669403000666
2020-03-19,93.0,97.25,91.63249969482422,94.04650115966797,207998000,90.41954956054687,97.09030960083008,49.86693956978591,94.18087463378906,104.54246104032948,83.81928822724863
2020-03-20,96.31549835205078,97.8499984741211,91.0364990234375,92.30449676513672,196358000,90.14454956054688,97.04442947387696,44.73493688377552,93.55617446899414,102.65161652428797,84.46073241370031
2020-03-23,91.38749694824219,95.97000122070312,90.5999984741211,95.1415023803711,156170000,90.6556495666504,97.04620956420898,49.702727046728334,93.29002456665039,101.82879245498451,84.75125667831627
2020-03-24,97.57499694824219,97.75,95.01699829101562,97.00499725341797,142942000,90.89704895019531,97.10314956665039,48.22505641828271,93.2084243774414,101.5612094642632,84.8556392906196
2020-03-25,96.03450012207031,97.51300048828125,94.28900146484375,94.29199981689453,129582000,91.22194900512696,97.09768951416015,48.10747645177506,92.9740493774414,100.89700775698802,85.05109099789479
2020-03-26,95.0999984741211,97.82450103759766,94.4645004272461,97.77449798583984,124426000,92.61634902954101,97.18373947143554,52.57653892328777,93.15202445983887,101.34758018658262,84.95646873309512
2020-03-27,96.54299926757812,96.989501953125,94.99600219726562,95.00499725341797,107758000,93.19184875488281,97.22181945800781,54.922365300947234,93.19289932250976,101.41829988450161,84.96749876051791
2020-03-30,96.1415023803711,98.68150329589844,95.61699676513672,98.19750213623047,122522000,94.56584930419922,97.30782943725586,53.66800963235558,93.21789932250977,101.5037639026054,84.93203474241413
2020-03-31,98.21749877929688,99.6510009765625,97.20050048828125,97.48600006103516,102472000,95.27524948120117,97.39282943725586,56.95412631900358,93.31972427368164,101.76949091666673,84.86995763069656
